,Company,WebSite,Price,Rating,Cluster_Id
3,191,0,13.99,4.0,2
4,191,0,14.99,4.5,2
5,191,0,15.99,4.5,2
6,110,0,13.99,4.6,2
7,110,0,13.99,4.5,2
8,191,0,15.99,4.5,2
9,191,0,11.49,4.0,2
10,191,0,11.99,4.5,2
11,19,0,11.99,4.5,2
12,19,0,21.99,4.5,2
13,110,0,26.99,4.5,2
14,191,0,7.99,4.5,2
15,113,0,12.99,4.5,2
16,113,0,14.99,4.5,2
17,191,0,15.99,4.0,2
18,110,0,13.99,4.5,2
19,19,0,11.99,4.5,2
20,19,0,19.99,4.6,2
21,185,0,15.99,4.5,2
22,20,0,9.99,4.5,2
23,134,0,13.49,4.5,2
24,185,0,13.99,4.5,2
25,185,0,15.99,4.5,2
26,112,0,13.99,4.5,2
27,51,0,7.99,4.5,2
28,134,0,18.99,4.5,2
29,134,0,18.99,4.5,2
30,83,0,18.99,4.5,2
31,130,0,15.99,4.5,2
32,136,0,8.99,4.5,2
33,134,0,11.99,4.5,2
34,2,0,16.99,4.5,2
35,112,0,29.99,4.5,2
36,191,0,11.49,4.5,2
37,185,0,15.99,4.5,2
38,130,0,14.99,4.5,2
39,136,0,13.49,4.5,2
40,19,0,11.49,4.5,2
41,134,0,11.99,4.5,2
42,19,0,14.99,4.5,2
43,191,0,13.99,4.5,2
44,136,0,13.49,4.5,2
45,134,0,11.99,4.0,2
46,113,0,21.99,4.0,2
47,173,0,15.99,4.5,2
48,149,0,29.99,4.0,2
49,135,0,17.99,4.5,2
50,191,0,29.99,4.5,2
51,3,0,12.99,4.5,2
52,191,0,11.99,4.0,2
53,191,0,19.99,4.5,2
54,130,0,15.99,4.0,2
55,191,0,7.99,4.5,2
56,191,0,5.49,4.5,2
57,116,0,12.99,4.5,2
58,191,0,11.99,5.0,2
59,191,0,13.99,5.0,2
60,112,0,38.99,5.0,2
61,191,0,19.99,5.0,2
62,19,0,11.99,4.5,2
63,19,0,14.99,4.5,2
64,134,0,38.99,4.5,2
65,19,0,19.99,4.5,2
66,19,0,14.99,4.5,2
67,191,0,13.99,4.0,2
68,191,0,14.99,4.5,2
69,191,0,15.99,4.5,2
70,110,0,13.99,4.6,2
71,110,0,13.99,4.5,2
72,191,0,15.99,4.5,2
73,191,0,11.49,4.0,2
74,191,0,11.99,4.5,2
75,19,0,11.99,4.5,2
76,19,0,21.99,4.5,2
77,110,0,26.99,4.5,2
78,191,0,7.99,4.5,2
79,113,0,12.99,4.5,2
80,113,0,14.99,4.5,2
81,191,0,15.99,4.0,2
82,110,0,13.99,4.5,2
83,19,0,11.99,4.5,2
84,19,0,19.99,4.6,2
85,185,0,15.99,4.5,2
86,20,0,9.99,4.5,2
87,134,0,13.49,4.5,2
88,185,0,13.99,4.5,2
89,185,0,15.99,4.5,2
90,112,0,13.99,4.5,2
91,51,0,7.99,4.5,2
92,134,0,18.99,4.5,2
93,134,0,18.99,4.5,2
94,83,0,18.99,4.5,2
95,130,0,15.99,4.5,2
96,136,0,8.99,4.5,2
97,134,0,11.99,4.5,2
